SRRacc	Mapped_reads	Ref_recovery%	Avg_fold(x)	Fold_std
ERR5507040	5597	99.7054	63.12	47.18
ERR5508755	12899	88.0281	146.45	252.77
ERR5509159	21297	86.4714	242.93	453.25
ERR5509172	34380	98.7211	390.75	627.99
ERR5510726	6262	97.7235	70.30	65.45
ERR5512392	23690	99.7054	281.05	482.84
ERR5514246	18690	91.3224	212.00	397.30
ERR5514452	43167	98.7211	491.49	780.27
ERR5515901	10332	87.1510	117.08	232.28
ERR5516042	5740	97.7469	64.67	62.48
ERR5516092	53942	98.7211	613.08	790.35
ERR5516312	11640	99.7087	131.11	121.01
ERR5517159	23733	79.3137	270.88	477.46
ERR5517491	28925	94.7841	329.32	631.27
ERR5629132	158955	99.7087	1808.06	1534.27
ERR5633398	137260	99.7121	1562.07	1422.39
ERR5971452	26596	99.7087	302.79	234.57
ERR5971977	31165	99.7087	355.44	376.95
ERR5972444	196321	99.7121	2234.73	1302.59
ERR5972500	31134	99.7087	355.21	246.64
ERR5973485	135523	99.7087	1538.92	958.43
ERR6297717	11866	99.7054	134.52	247.38
ERR6301383	16658	99.7087	192.54	511.44
ERR4969165	219800	63.2139	899.31	1829.30
ERR4969174	3114	5.8319	26.77	170.74
ERR4969175	236113	39.7790	1003.45	2376.45
ERR4969176	7698	7.0572	67.21	542.14
ERR4969177	5225	5.2695	43.77	403.90
ERR4969178	94	3.2541	0.19	4.83
ERR4969179	11635	9.2769	99.77	756.76
ERR4969180	107	3.1503	0.22	5.58
ERR4969181	17520	3.0264	155.89	1521.27
ERR4969182	2387	7.1945	20.04	145.67
ERR4969183	22858	4.1212	201.29	1869.26
ERR4969184	125912	51.5835	538.87	1348.94
ERR4969185	41649	17.0238	362.91	1462.42
ERR4969186	24850	13.5922	211.52	835.96
ERR4969187	129726	35.3197	560.10	1983.93
ERR4969189	241277	11.7677	1113.92	5876.12
ERR4969190	191325	11.8045	825.36	6578.86
ERR4969191	40499	99.8661	354.13	319.28
ERR4969192	390829	99.8159	1693.91	2212.94
ERR4969193	17198	98.9990	152.15	149.78
ERR4969194	467978	87.0673	2038.71	5297.53
ERR4969195	210915	77.9612	927.42	2174.05
ERR4969196	237531	98.7479	1038.63	1746.81
ERR4969197	16582	98.3729	143.86	131.14
ERR4969198	18721	98.1353	80.36	76.10
ERR4969199	368773	99.6150	1614.46	2355.74
ERR4969200	624212	99.7690	2723.12	3786.01
ERR4969201	334936	99.4576	1465.70	1851.19
ERR4969202	417770	89.9297	1829.71	4335.93
ERR4969203	589003	99.6418	2592.85	4326.70
ERR4969204	935871	84.1982	4094.78	7992.35
ERR4969205	647	1.4094	1.23	38.23
ERR4969206	800	1.5735	1.58	46.76
ERR4969207	541	5.0787	4.09	31.74
ERR4969208	15351	8.1118	129.85	944.20
ERR4969209	395867	40.9207	1743.44	5119.13
ERR4969210	28032	16.9501	239.97	994.75
ERR4969211	150	0.5557	0.27	8.33
ERR4969213	24205	7.9612	208.17	1217.70
ERR4969215	622987	56.7559	2772.17	7719.64
ERR4969995	246759	99.9063	1087.65	989.25
ERR4969996	339333	99.8125	1490.32	1512.34
ERR4969997	310320	99.9029	1355.22	1176.59
ERR4969998	385614	99.8125	1683.82	1523.24
ERR4969999	189092	99.8226	782.99	624.33
ERR4970000	292497	99.2534	1281.13	1142.71
ERR4970001	113753	99.2936	501.99	450.77
ERR4970002	297688	99.8192	1270.61	1129.86
ERR4970003	490688	99.8125	2138.42	1990.39
ERR4970004	368647	99.8125	1623.08	1475.24
ERR4970005	288825	99.9397	1263.78	1132.63
ERR4970006	600856	99.6920	2629.55	4312.33
ERR4970007	122347	99.1262	535.17	514.00
ERR4970008	115731	98.5203	509.65	524.06
ERR4970009	496767	99.8259	2161.37	2617.80
ERR4970044	476206	99.8226	2078.83	1751.57
ERR4970045	1066912	99.8326	4653.45	3682.68
ERR4970046	726653	99.8159	3154.37	2596.53
ERR4970047	540220	99.8326	2355.18	2016.19
ERR4970048	655746	99.9531	2886.31	2455.02
ERR4970049	782480	99.9063	3420.11	2670.28
ERR4970050	795762	99.8125	3476.99	3475.69
ERR4970051	1083801	99.8326	4705.38	5083.35
ERR4970052	732294	99.8125	3226.51	3246.88
ERR4970053	1444757	99.9364	6257.08	4759.01
ERR4970054	1010843	99.9799	4418.28	3567.32
ERR4970055	1207000	99.8159	5329.67	4411.40
ERR4970056	963056	99.8159	4211.46	3315.37
ERR4970057	1494423	99.8125	6568.03	5271.28
ERR4970058	1493281	99.8594	6456.58	8142.06
ERR4970059	1665766	99.8326	7354.47	6768.44
ERR4970060	2271824	99.8326	9939.20	7449.30
ERR4970061	2563488	99.8259	11213.36	15708.02
ERR4970062	3867932	99.8259	17239.01	19143.92
ERR4970065	5538	99.4945	47.94	35.09
ERR4969005	33133	59.6987	280.13	508.23
